Title,Has Website,Social Media Presence,Marketplace Usage,Payment Digital Adoption,Active Social Media Channels,Social Media Posting Frequency,Year Started Digital Adoption,POS (Point of Sales) Usage,Online Ads Usage,E-Wallet Acceptance,Business Size,Monthly Revenue,Number of Employees,Location Type,Willingness to Develop
CEO,Tidak,Tidak,Ya,Tidak,Facebook,Beberapa Kali Seminggu,2019-2021,Tidak,Tidak,Ya,Medium,5-15 Juta,3-5 Orang,Online-Only,Bersedia
President,Ya,Ya,Tidak,Ya,Tidak Ada,Setiap Hari,2019-2021,Tidak,Tidak,Ya,Micro,>30 Juta,6-10 Orang,Toko,Tidak Bersedia
President,Ya,Ya,Ya,Tidak,Tidak Ada,Setiap Hari,2015-2018,Tidak,Tidak,Tidak,Small,>30 Juta,6-10 Orang,Toko,Tidak Bersedia
Manager,Ya,Ya,Ya,Ya,Facebook,Beberapa Kali Seminggu,2015-2018,Tidak,Tidak,Tidak,Medium,<5 Juta,1-2 Orang,Online-Only,Tidak Bersedia
CEO,Ya,Ya,Ya,Ya,Instagram,Jarang,2015-2018,Tidak,Tidak,Ya,Small,>30 Juta,3-5 Orang,Toko,Bersedia
CEO,Ya,Ya,Ya,Ya,WhatsApp,Tidak Pernah,Belum Mengadopsi,Tidak,Tidak,Ya,Medium,<5 Juta,3-5 Orang,Rumah,Tidak Bersedia
President,Tidak,Tidak,Tidak,Ya,WhatsApp,Setiap Hari,2019-2021,Tidak,Tidak,Ya,Micro,<5 Juta,6-10 Orang,Pasar,Tidak Bersedia
President,Ya,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Seminggu,<2015,Ya,Tidak,Tidak,Micro,5-15 Juta,1-2 Orang,Online-Only,Tidak Bersedia
Owner,Ya,Ya,Ya,Ya,Tidak Ada,Jarang,Belum Mengadopsi,Ya,Tidak,Ya,Micro,5-15 Juta,6-10 Orang,Rumah,Tidak Bersedia
President,Tidak,Ya,Tidak,Ya,WhatsApp,Beberapa Kali Sebulan,2019-2021,Tidak,Ya,Ya,Medium,5-15 Juta,3-5 Orang,Rumah,Tidak Bersedia
Manager,Tidak,Ya,Ya,Ya,TikTok,Beberapa Kali Sebulan,2022-Sekarang,Ya,Tidak,Ya,Small,<5 Juta,>10 Orang,Rumah,Bersedia
Director,Ya,Ya,Tidak,Tidak,TikTok,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Ya,Medium,5-15 Juta,3-5 Orang,Rumah,Tidak Bersedia
Manager,Tidak,Tidak,Ya,Ya,Tidak Ada,Beberapa Kali Seminggu,2022-Sekarang,Ya,Ya,Tidak,Small,5-15 Juta,>10 Orang,Pasar,Tidak Bersedia
CEO,Tidak,Tidak,Tidak,Ya,Instagram,Tidak Pernah,<2015,Ya,Tidak,Ya,Micro,>30 Juta,1-2 Orang,Online-Only,Bersedia
Manager,Ya,Tidak,Ya,Ya,Facebook,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Medium,<5 Juta,>10 Orang,Rumah,Tidak Bersedia
Owner,Tidak,Ya,Tidak,Ya,Tidak Ada,Jarang,2022-Sekarang,Ya,Tidak,Ya,Medium,>30 Juta,6-10 Orang,Toko,Bersedia
Manager,Ya,Tidak,Ya,Ya,WhatsApp,Tidak Pernah,<2015,Ya,Tidak,Tidak,Micro,5-15 Juta,1-2 Orang,Pasar,Tidak Bersedia
Manager,Tidak,Ya,Tidak,Tidak,Facebook,Beberapa Kali Sebulan,2022-Sekarang,Ya,Tidak,Tidak,Medium,>30 Juta,3-5 Orang,Online-Only,Bersedia
Manager,Ya,Ya,Ya,Tidak,Instagram,Setiap Hari,2019-2021,Tidak,Tidak,Tidak,Medium,5-15 Juta,6-10 Orang,Rumah,Tidak Bersedia
President,Ya,Ya,Tidak,Ya,WhatsApp,Setiap Hari,2022-Sekarang,Ya,Tidak,Ya,Medium,>30 Juta,6-10 Orang,Online-Only,Bersedia
CEO,Ya,Ya,Tidak,Tidak,TikTok,Setiap Hari,2015-2018,Ya,Ya,Ya,Medium,5-15 Juta,3-5 Orang,Toko,Tidak Bersedia
President,Tidak,Ya,Tidak,Ya,TikTok,Jarang,2015-2018,Ya,Tidak,Tidak,Micro,15-30 Juta,1-2 Orang,Rumah,Bersedia
Owner,Tidak,Ya,Ya,Tidak,Tidak Ada,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Micro,5-15 Juta,6-10 Orang,Toko,Tidak Bersedia
Manager,Tidak,Ya,Ya,Ya,Instagram,Setiap Hari,Belum Mengadopsi,Tidak,Ya,Ya,Micro,5-15 Juta,>10 Orang,Toko,Bersedia
Manager,Tidak,Ya,Tidak,Ya,Tidak Ada,Tidak Pernah,2015-2018,Ya,Tidak,Tidak,Small,<5 Juta,1-2 Orang,Online-Only,Tidak Bersedia
CEO,Tidak,Ya,Ya,Tidak,Instagram,Setiap Hari,2022-Sekarang,Tidak,Tidak,Tidak,Micro,5-15 Juta,>10 Orang,Rumah,Bersedia
Director,Ya,Ya,Tidak,Tidak,Tidak Ada,Jarang,2015-2018,Tidak,Tidak,Tidak,Medium,<5 Juta,1-2 Orang,Rumah,Tidak Bersedia
Manager,Ya,Ya,Tidak,Tidak,Facebook,Setiap Hari,2019-2021,Tidak,Tidak,Ya,Small,15-30 Juta,>10 Orang,Online-Only,Bersedia
Manager,Ya,Ya,Ya,Ya,Tidak Ada,Jarang,Belum Mengadopsi,Ya,Tidak,Ya,Medium,<5 Juta,1-2 Orang,Toko,Tidak Bersedia
Manager,Tidak,Ya,Ya,Tidak,Facebook,Jarang,2019-2021,Ya,Tidak,Ya,Small,15-30 Juta,6-10 Orang,Rumah,Bersedia
Director,Ya,Tidak,Ya,Ya,Instagram,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Ya,Micro,<5 Juta,6-10 Orang,Toko,Bersedia
Director,Tidak,Ya,Ya,Ya,Facebook,Jarang,2015-2018,Tidak,Tidak,Tidak,Micro,<5 Juta,3-5 Orang,Rumah,Tidak Bersedia
Manager,Ya,Ya,Tidak,Tidak,Facebook,Beberapa Kali Seminggu,2022-Sekarang,Ya,Ya,Tidak,Medium,<5 Juta,>10 Orang,Pasar,Bersedia
Director,Tidak,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Sebulan,2015-2018,Ya,Tidak,Ya,Micro,<5 Juta,6-10 Orang,Toko,Tidak Bersedia
Director,Tidak,Ya,Ya,Ya,Facebook,Jarang,2015-2018,Tidak,Tidak,Tidak,Micro,>30 Juta,6-10 Orang,Pasar,Bersedia
Owner,Tidak,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Seminggu,<2015,Ya,Tidak,Ya,Medium,15-30 Juta,3-5 Orang,Rumah,Bersedia
Director,Tidak,Tidak,Ya,Ya,WhatsApp,Beberapa Kali Seminggu,2019-2021,Tidak,Ya,Tidak,Small,>30 Juta,6-10 Orang,Toko,Tidak Bersedia
Director,Tidak,Ya,Tidak,Tidak,Instagram,Setiap Hari,<2015,Tidak,Tidak,Tidak,Micro,<5 Juta,6-10 Orang,Pasar,Bersedia
Owner,Tidak,Ya,Ya,Tidak,WhatsApp,Tidak Pernah,2022-Sekarang,Ya,Tidak,Tidak,Small,15-30 Juta,6-10 Orang,Pasar,Bersedia
CEO,Tidak,Tidak,Ya,Tidak,Tidak Ada,Setiap Hari,2022-Sekarang,Ya,Tidak,Tidak,Medium,>30 Juta,3-5 Orang,Toko,Bersedia
Manager,Tidak,Ya,Ya,Ya,Facebook,Tidak Pernah,Belum Mengadopsi,Tidak,Ya,Tidak,Micro,15-30 Juta,3-5 Orang,Pasar,Tidak Bersedia
President,Tidak,Tidak,Ya,Tidak,Facebook,Setiap Hari,2015-2018,Tidak,Ya,Ya,Micro,5-15 Juta,>10 Orang,Rumah,Bersedia
President,Tidak,Ya,Tidak,Ya,Instagram,Setiap Hari,<2015,Ya,Tidak,Tidak,Micro,15-30 Juta,>10 Orang,Toko,Bersedia
Manager,Tidak,Tidak,Ya,Tidak,Facebook,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,>30 Juta,>10 Orang,Toko,Tidak Bersedia
Manager,Tidak,Ya,Tidak,Ya,Facebook,Beberapa Kali Sebulan,<2015,Tidak,Tidak,Ya,Medium,5-15 Juta,>10 Orang,Pasar,Tidak Bersedia
Director,Tidak,Ya,Ya,Ya,Facebook,Beberapa Kali Seminggu,2022-Sekarang,Ya,Tidak,Tidak,Medium,15-30 Juta,>10 Orang,Rumah,Tidak Bersedia
Director,Tidak,Tidak,Tidak,Tidak,Instagram,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Ya,Small,<5 Juta,6-10 Orang,Online-Only,Bersedia
Manager,Tidak,Ya,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Small,15-30 Juta,>10 Orang,Rumah,Tidak Bersedia
Director,Tidak,Ya,Tidak,Tidak,WhatsApp,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Ya,Micro,>30 Juta,6-10 Orang,Toko,Bersedia
Manager,Ya,Ya,Ya,Ya,TikTok,Setiap Hari,2015-2018,Tidak,Tidak,Ya,Medium,<5 Juta,1-2 Orang,Pasar,Bersedia
CEO,Tidak,Ya,Ya,Ya,Tidak Ada,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Tidak,Ya,Small,5-15 Juta,1-2 Orang,Rumah,Bersedia
Director,Tidak,Ya,Tidak,Ya,TikTok,Beberapa Kali Seminggu,2019-2021,Tidak,Ya,Tidak,Small,5-15 Juta,1-2 Orang,Online-Only,Bersedia
Owner,Tidak,Tidak,Tidak,Ya,Instagram,Jarang,2022-Sekarang,Tidak,Tidak,Tidak,Micro,15-30 Juta,3-5 Orang,Rumah,Bersedia
Owner,Tidak,Ya,Tidak,Tidak,Instagram,Setiap Hari,2015-2018,Tidak,Tidak,Tidak,Small,5-15 Juta,1-2 Orang,Toko,Tidak Bersedia
Owner,Tidak,Ya,Ya,Tidak,WhatsApp,Jarang,2022-Sekarang,Tidak,Tidak,Tidak,Medium,>30 Juta,3-5 Orang,Rumah,Tidak Bersedia
CEO,Ya,Tidak,Tidak,Tidak,Facebook,Beberapa Kali Seminggu,2019-2021,Tidak,Tidak,Ya,Micro,5-15 Juta,1-2 Orang,Online-Only,Tidak Bersedia
Owner,Tidak,Ya,Ya,Tidak,TikTok,Jarang,Belum Mengadopsi,Ya,Tidak,Tidak,Micro,>30 Juta,6-10 Orang,Pasar,Tidak Bersedia
Director,Ya,Ya,Ya,Tidak,Instagram,Beberapa Kali Seminggu,Belum Mengadopsi,Ya,Tidak,Tidak,Small,<5 Juta,>10 Orang,Online-Only,Tidak Bersedia
CEO,Tidak,Ya,Tidak,Tidak,Tidak Ada,Jarang,Belum Mengadopsi,Ya,Tidak,Ya,Micro,>30 Juta,>10 Orang,Toko,Bersedia
CEO,Tidak,Ya,Tidak,Tidak,TikTok,Jarang,2019-2021,Ya,Tidak,Tidak,Micro,<5 Juta,3-5 Orang,Pasar,Bersedia
Owner,Ya,Ya,Tidak,Tidak,Tidak Ada,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Ya,Micro,<5 Juta,6-10 Orang,Toko,Bersedia
CEO,Tidak,Ya,Tidak,Tidak,Tidak Ada,Beberapa Kali Sebulan,<2015,Tidak,Tidak,Ya,Small,>30 Juta,3-5 Orang,Toko,Bersedia
Owner,Ya,Tidak,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,<2015,Tidak,Ya,Ya,Medium,15-30 Juta,1-2 Orang,Pasar,Bersedia
President,Ya,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Ya,Small,5-15 Juta,>10 Orang,Rumah,Bersedia
Owner,Ya,Ya,Ya,Tidak,Tidak Ada,Setiap Hari,2015-2018,Ya,Ya,Ya,Medium,<5 Juta,>10 Orang,Rumah,Tidak Bersedia
President,Tidak,Ya,Ya,Tidak,TikTok,Jarang,2019-2021,Ya,Tidak,Ya,Medium,<5 Juta,1-2 Orang,Online-Only,Tidak Bersedia
President,Tidak,Ya,Tidak,Ya,WhatsApp,Beberapa Kali Seminggu,2015-2018,Tidak,Tidak,Ya,Medium,15-30 Juta,>10 Orang,Pasar,Bersedia
CEO,Tidak,Ya,Tidak,Tidak,TikTok,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Tidak,Tidak,Small,<5 Juta,6-10 Orang,Pasar,Bersedia
Manager,Ya,Ya,Ya,Ya,WhatsApp,Jarang,2015-2018,Tidak,Tidak,Ya,Small,5-15 Juta,6-10 Orang,Rumah,Tidak Bersedia
Owner,Ya,Ya,Tidak,Tidak,Facebook,Setiap Hari,2015-2018,Tidak,Ya,Tidak,Small,<5 Juta,3-5 Orang,Pasar,Bersedia
Director,Tidak,Ya,Ya,Tidak,Instagram,Beberapa Kali Seminggu,2015-2018,Tidak,Tidak,Tidak,Micro,>30 Juta,>10 Orang,Rumah,Tidak Bersedia
President,Tidak,Tidak,Ya,Tidak,Facebook,Tidak Pernah,Belum Mengadopsi,Ya,Tidak,Ya,Medium,15-30 Juta,1-2 Orang,Online-Only,Bersedia
CEO,Tidak,Ya,Tidak,Tidak,Facebook,Setiap Hari,2022-Sekarang,Tidak,Tidak,Ya,Micro,5-15 Juta,6-10 Orang,Pasar,Bersedia
Owner,Tidak,Tidak,Tidak,Tidak,Instagram,Beberapa Kali Seminggu,2022-Sekarang,Tidak,Tidak,Ya,Medium,<5 Juta,3-5 Orang,Rumah,Bersedia
Owner,Ya,Ya,Tidak,Tidak,WhatsApp,Jarang,Belum Mengadopsi,Ya,Ya,Tidak,Small,>30 Juta,6-10 Orang,Rumah,Bersedia
CEO,Ya,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Seminggu,<2015,Tidak,Ya,Ya,Small,5-15 Juta,>10 Orang,Rumah,Tidak Bersedia
Director,Tidak,Ya,Ya,Tidak,Facebook,Setiap Hari,<2015,Ya,Tidak,Ya,Micro,5-15 Juta,>10 Orang,Rumah,Bersedia
Director,Ya,Ya,Ya,Ya,WhatsApp,Beberapa Kali Sebulan,2022-Sekarang,Ya,Ya,Tidak,Medium,5-15 Juta,6-10 Orang,Rumah,Bersedia
CEO,Tidak,Ya,Tidak,Ya,Tidak Ada,Beberapa Kali Sebulan,2019-2021,Ya,Tidak,Ya,Small,15-30 Juta,>10 Orang,Online-Only,Bersedia
CEO,Tidak,Tidak,Tidak,Ya,Tidak Ada,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,5-15 Juta,>10 Orang,Toko,Bersedia
Owner,Tidak,Ya,Tidak,Tidak,WhatsApp,Jarang,2015-2018,Tidak,Tidak,Ya,Medium,15-30 Juta,3-5 Orang,Toko,Bersedia
CEO,Ya,Ya,Tidak,Tidak,Tidak Ada,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Small,<5 Juta,3-5 Orang,Toko,Bersedia
President,Ya,Ya,Tidak,Tidak,Instagram,Tidak Pernah,<2015,Ya,Tidak,Tidak,Small,5-15 Juta,>10 Orang,Pasar,Bersedia
Manager,Tidak,Ya,Tidak,Tidak,Facebook,Tidak Pernah,2022-Sekarang,Tidak,Ya,Tidak,Micro,15-30 Juta,1-2 Orang,Rumah,Bersedia
CEO,Tidak,Tidak,Ya,Ya,WhatsApp,Tidak Pernah,<2015,Tidak,Tidak,Tidak,Micro,15-30 Juta,6-10 Orang,Rumah,Tidak Bersedia
Director,Tidak,Ya,Ya,Tidak,Facebook,Beberapa Kali Seminggu,2022-Sekarang,Ya,Ya,Tidak,Medium,<5 Juta,1-2 Orang,Online-Only,Tidak Bersedia
Owner,Tidak,Ya,Tidak,Ya,Instagram,Jarang,Belum Mengadopsi,Tidak,Tidak,Ya,Small,>30 Juta,3-5 Orang,Online-Only,Tidak Bersedia
Owner,Ya,Ya,Tidak,Tidak,Facebook,Jarang,2022-Sekarang,Ya,Ya,Tidak,Micro,<5 Juta,3-5 Orang,Pasar,Tidak Bersedia
Owner,Tidak,Tidak,Ya,Tidak,WhatsApp,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Tidak,Small,5-15 Juta,3-5 Orang,Online-Only,Bersedia
President,Ya,Ya,Ya,Tidak,Instagram,Setiap Hari,2019-2021,Tidak,Tidak,Ya,Medium,15-30 Juta,1-2 Orang,Online-Only,Tidak Bersedia
Manager,Tidak,Ya,Ya,Ya,Instagram,Tidak Pernah,2019-2021,Tidak,Tidak,Tidak,Medium,15-30 Juta,3-5 Orang,Online-Only,Bersedia
Director,Tidak,Tidak,Ya,Ya,Tidak Ada,Tidak Pernah,2019-2021,Ya,Tidak,Ya,Micro,>30 Juta,1-2 Orang,Pasar,Tidak Bersedia
Director,Tidak,Tidak,Tidak,Tidak,WhatsApp,Setiap Hari,2015-2018,Ya,Tidak,Ya,Small,15-30 Juta,>10 Orang,Online-Only,Bersedia
Director,Tidak,Tidak,Ya,Ya,Instagram,Setiap Hari,<2015,Ya,Ya,Ya,Medium,>30 Juta,3-5 Orang,Online-Only,Tidak Bersedia
Director,Tidak,Tidak,Ya,Ya,Instagram,Tidak Pernah,Belum Mengadopsi,Tidak,Tidak,Ya,Micro,<5 Juta,1-2 Orang,Toko,Bersedia
President,Tidak,Ya,Ya,Tidak,Facebook,Setiap Hari,Belum Mengadopsi,Tidak,Tidak,Ya,Small,5-15 Juta,>10 Orang,Toko,Bersedia
Owner,Tidak,Ya,Ya,Tidak,Tidak Ada,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Ya,Micro,15-30 Juta,6-10 Orang,Rumah,Tidak Bersedia
Owner,Ya,Ya,Tidak,Ya,Facebook,Beberapa Kali Sebulan,<2015,Tidak,Tidak,Tidak,Medium,5-15 Juta,1-2 Orang,Pasar,Tidak Bersedia
Manager,Tidak,Tidak,Ya,Tidak,Instagram,Beberapa Kali Seminggu,2022-Sekarang,Tidak,Tidak,Ya,Small,>30 Juta,1-2 Orang,Online-Only,Bersedia
Manager,Tidak,Tidak,Tidak,Tidak,Instagram,Tidak Pernah,Belum Mengadopsi,Tidak,Tidak,Ya,Medium,15-30 Juta,1-2 Orang,Pasar,Tidak Bersedia
Director,Tidak,Ya,Ya,Tidak,Facebook,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Tidak,Ya,Small,>30 Juta,3-5 Orang,Online-Only,Tidak Bersedia
Manager,Tidak,Ya,Ya,Ya,Facebook,Beberapa Kali Sebulan,2015-2018,Tidak,Ya,Ya,Small,5-15 Juta,1-2 Orang,Online-Only,Bersedia
Owner,Ya,Ya,Ya,Tidak,Instagram,Beberapa Kali Sebulan,Belum Mengadopsi,Tidak,Ya,Tidak,Medium,15-30 Juta,6-10 Orang,Pasar,Bersedia
Manager,Tidak,Tidak,Tidak,Tidak,Instagram,Jarang,Belum Mengadopsi,Ya,Ya,Ya,Micro,<5 Juta,1-2 Orang,Rumah,Bersedia
CEO,Ya,Ya,Ya,Ya,Tidak Ada,Jarang,2022-Sekarang,Ya,Ya,Tidak,Small,15-30 Juta,1-2 Orang,Toko,Bersedia
Director,Tidak,Ya,Ya,Tidak,Instagram,Beberapa Kali Sebulan,Belum Mengadopsi,Ya,Tidak,Tidak,Micro,<5 Juta,3-5 Orang,Rumah,Bersedia
Owner,Tidak,Ya,Ya,Ya,Instagram,Jarang,Belum Mengadopsi,Tidak,Tidak,Ya,Micro,>30 Juta,6-10 Orang,Rumah,Bersedia
Owner,Tidak,Ya,Tidak,Tidak,WhatsApp,Beberapa Kali Seminggu,<2015,Ya,Tidak,Ya,Small,5-15 Juta,3-5 Orang,Rumah,Bersedia
Director,Tidak,Tidak,Ya,Ya,TikTok,Tidak Pernah,2015-2018,Tidak,Ya,Ya,Micro,15-30 Juta,6-10 Orang,Pasar,Bersedia
President,Ya,Ya,Ya,Tidak,TikTok,Tidak Pernah,<2015,Ya,Tidak,Ya,Micro,<5 Juta,6-10 Orang,Rumah,Tidak Bersedia
President,Tidak,Tidak,Ya,Tidak,Instagram,Tidak Pernah,Belum Mengadopsi,Tidak,Tidak,Ya,Small,5-15 Juta,6-10 Orang,Toko,Tidak Bersedia
President,Ya,Ya,Tidak,Ya,Tidak Ada,Setiap Hari,2015-2018,Tidak,Tidak,Tidak,Medium,<5 Juta,6-10 Orang,Pasar,Bersedia
Manager,Tidak,Ya,Tidak,Ya,WhatsApp,Beberapa Kali Seminggu,2022-Sekarang,Tidak,Ya,Tidak,Small,5-15 Juta,6-10 Orang,Pasar,Bersedia
Director,Tidak,Tidak,Ya,Tidak,Instagram,Tidak Pernah,<2015,Tidak,Tidak,Tidak,Medium,15-30 Juta,6-10 Orang,Online-Only,Bersedia
Owner,Tidak,Tidak,Tidak,Ya,WhatsApp,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Tidak,Medium,<5 Juta,3-5 Orang,Pasar,Tidak Bersedia
Manager,Tidak,Tidak,Ya,Ya,Facebook,Tidak Pernah,Belum Mengadopsi,Ya,Ya,Tidak,Medium,15-30 Juta,6-10 Orang,Toko,Tidak Bersedia
CEO,Tidak,Ya,Ya,Ya,Tidak Ada,Tidak Pernah,Belum Mengadopsi,Tidak,Tidak,Ya,Medium,15-30 Juta,6-10 Orang,Toko,Bersedia
Director,Tidak,Tidak,Tidak,Ya,TikTok,Jarang,2015-2018,Ya,Tidak,Ya,Micro,>30 Juta,6-10 Orang,Rumah,Bersedia
CEO,Tidak,Tidak,Ya,Ya,WhatsApp,Jarang,2022-Sekarang,Tidak,Tidak,Tidak,Small,15-30 Juta,1-2 Orang,Rumah,Bersedia
President,Tidak,Ya,Ya,Ya,Instagram,Beberapa Kali Seminggu,Belum Mengadopsi,Tidak,Tidak,Tidak,Micro,5-15 Juta,3-5 Orang,Pasar,Tidak Bersedia
CEO,Tidak,Ya,Tidak,Tidak,Facebook,Beberapa Kali Seminggu,2022-Sekarang,Ya,Tidak,Ya,Small,5-15 Juta,1-2 Orang,Pasar,Bersedia
CEO,Tidak,Ya,Ya,Tidak,Tidak Ada,Tidak Pernah,2022-Sekarang,Tidak,Ya,Ya,Micro,15-30 Juta,3-5 Orang,Rumah,Bersedia
CEO,Tidak,Tidak,Ya,Ya,WhatsApp,Tidak Pernah,2015-2018,Tidak,Tidak,Tidak,Micro,15-30 Juta,1-2 Orang,Online-Only,Tidak Bersedia
CEO,Tidak,Ya,Tidak,Tidak,Facebook,Tidak Pernah,2015-2018,Ya,Tidak,Tidak,Micro,>30 Juta,>10 Orang,Rumah,Tidak Bersedia
Director,Tidak,Ya,Ya,Ya,WhatsApp,Setiap Hari,Belum Mengadopsi,Ya,Tidak,Tidak,Small,15-30 Juta,3-5 Orang,Toko,Tidak Bersedia
CEO,Ya,Ya,Ya,Ya,WhatsApp,Beberapa Kali Sebulan,Belum Mengadopsi,Ya,Tidak,Tidak,Medium,<5 Juta,1-2 Orang,Online-Only,Tidak Bersedia
President,Tidak,Ya,Ya,Ya,WhatsApp,Jarang,2022-Sekarang,Ya,Tidak,Tidak,Micro,>30 Juta,3-5 Orang,Toko,Tidak Bersedia
Manager,Tidak,Tidak,Ya,Ya,Tidak Ada,Tidak Pernah,<2015,Ya,Tidak,Tidak,Small,<5 Juta,6-10 Orang,Toko,Bersedia
President,Ya,Tidak,Ya,Tidak,Tidak Ada,Setiap Hari,Belum Mengadopsi,Ya,Ya,Ya,Small,5-15 Juta,6-10 Orang,Online-Only,Tidak Bersedia
Director,Tidak,Tidak,Ya,Tidak,TikTok,Setiap Hari,2022-Sekarang,Tidak,Tidak,Tidak,Micro,5-15 Juta,1-2 Orang,Online-Only,Tidak Bersedia
Manager,Tidak,Tidak,Ya,Tidak,WhatsApp,Setiap Hari,2022-Sekarang,Tidak,Ya,Ya,Small,<5 Juta,1-2 Orang,Online-Only,Bersedia
Manager,Ya,Ya,Tidak,Ya,Facebook,Jarang,2019-2021,Tidak,Tidak,Tidak,Small,>30 Juta,3-5 Orang,Toko,Tidak Bersedia
Director,Ya,Tidak,Ya,Tidak,Instagram,Beberapa Kali Sebulan,2019-2021,Tidak,Tidak,Ya,Medium,5-15 Juta,6-10 Orang,Online-Only,Tidak Bersedia
Manager,Ya,Ya,Tidak,Tidak,WhatsApp,Tidak Pernah,<2015,Tidak,Tidak,Tidak,Medium,5-15 Juta,1-2 Orang,Toko,Bersedia
President,Tidak,Tidak,Ya,Ya,TikTok,Tidak Pernah,2015-2018,Tidak,Tidak,Ya,Micro,<5 Juta,>10 Orang,Toko,Bersedia
Manager,Ya,Ya,Tidak,Ya,Tidak Ada,Beberapa Kali Sebulan,<2015,Ya,Tidak,Tidak,Micro,5-15 Juta,>10 Orang,Pasar,Bersedia
Director,Ya,Ya,Tidak,Tidak,TikTok,Jarang,<2015,Tidak,Tidak,Ya,Medium,<5 Juta,3-5 Orang,Toko,Bersedia
CEO,Ya,Ya,Ya,Tidak,TikTok,Setiap Hari,Belum Mengadopsi,Tidak,Ya,Ya,Small,15-30 Juta,6-10 Orang,Online-Only,Bersedia
Owner,Ya,Tidak,Ya,Ya,WhatsApp,Tidak Pernah,2022-Sekarang,Ya,Ya,Ya,Small,>30 Juta,>10 Orang,Toko,Bersedia
Manager,Tidak,Ya,Ya,Tidak,WhatsApp,Setiap Hari,<2015,Tidak,Ya,Ya,Medium,>30 Juta,>10 Orang,Pasar,Bersedia
Manager,Tidak,Ya,Ya,Tidak,Facebook,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Ya,Small,5-15 Juta,6-10 Orang,Toko,Bersedia
Director,Ya,Ya,Tidak,Ya,Facebook,Tidak Pernah,2022-Sekarang,Tidak,Tidak,Ya,Medium,15-30 Juta,6-10 Orang,Rumah,Bersedia
Director,Tidak,Ya,Ya,Ya,TikTok,Tidak Pernah,Belum Mengadopsi,Ya,Tidak,Ya,Medium,>30 Juta,1-2 Orang,Toko,Bersedia
Director,Ya,Tidak,Ya,Tidak,Facebook,Tidak Pernah,2019-2021,Tidak,Tidak,Ya,Micro,5-15 Juta,3-5 Orang,Rumah,Tidak Bersedia
Manager,Tidak,Ya,Ya,Tidak,Facebook,Beberapa Kali Seminggu,<2015,Tidak,Tidak,Tidak,Small,15-30 Juta,6-10 Orang,Toko,Bersedia
Owner,Ya,Ya,Ya,Ya,Instagram,Beberapa Kali Sebulan,2022-Sekarang,Tidak,Ya,Tidak,Micro,<5 Juta,3-5 Orang,Toko,Tidak Bersedia
President,Tidak,Ya,Tidak,Ya,Facebook,Beberapa Kali Sebulan,2019-2021,Ya,Ya,Ya,Medium,5-15 Juta,3-5 Orang,Rumah,Bersedia
CEO,Ya,Ya,Ya,Tidak,TikTok,Setiap Hari,Belum Mengadopsi,Tidak,Ya,Tidak,Micro,<5 Juta,>10 Orang,Toko,Tidak Bersedia
CEO,Tidak,Ya,Ya,Tidak,WhatsApp,Jarang,2015-2018,Tidak,Tidak,Tidak,Medium,5-15 Juta,3-5 Orang,Pasar,Tidak Bersedia
Manager,Tidak,Ya,Ya,Ya,Tidak Ada,Tidak Pernah,Belum Mengadopsi,Tidak,Tidak,Ya,Small,>30 Juta,3-5 Orang,Toko,Tidak Bersedia
President,Ya,Ya,Ya,Ya,WhatsApp,Tidak Pernah,2015-2018,Tidak,Tidak,Ya,Small,15-30 Juta,3-5 Orang,Pasar,Bersedia
Director,Tidak,Tidak,Ya,Ya,TikTok,Tidak Pernah,2015-2018,Tidak,Tidak,Tidak,Micro,<5 Juta,>10 Orang,Pasar,Bersedia
Owner,Tidak,Ya,Tidak,Tidak,Tidak Ada,Beberapa Kali Sebulan,2015-2018,Tidak,Tidak,Tidak,Medium,>30 Juta,6-10 Orang,Toko,Tidak Bersedia
